code_ral,name_fr,rgba,hex
060 50 05,Gris Rabat,"rgba(127,116,110,1)",#7F746E
060 50 10,Vanille,"rgba(133,114,102,1)",#857266
060 50 20,Chocolat,"rgba(144,110,88,1)",#906E58
060 50 30,Ambre,"rgba(157,108,74,1)",#9D6C4A
060 50 40,Ton bois,"rgba(165,102,57,1)",#A56639
060 50 50,Baillet,"rgba(175,100,43,1)",#AF642B
060 50 60,Aquilain,"rgba(178,91,9,1)",#B25B09
060 50 70,Orange brûlée,"rgba(189,92,0,1)",#BD5C00
060 60 05,Canelle,"rgba(154,144,138,1)",#9A908A
060 60 10,Canelle,"rgba(161,141,128,1)",#A18D80
060 60 20,Sépia,"rgba(176,137,113,1)",#B08971
060 60 30,Ambre,"rgba(185,133,99,1)",#B98563
060 60 40,Ambre,"rgba(200,133,84,1)",#C88554
060 60 50,Fauve,"rgba(202,122,64,1)",#CA7A40
060 60 60,Orange sanguine,"rgba(213,118,43,1)",#D5762B
060 60 70,Citrouille,"rgba(219,114,16,1)",#DB7210
060 60 80,Orange espagnol,"rgba(229,109,0,1)",#E56D00
060 70 05,Savane,"rgba(181,171,164,1)",#B5ABA4
060 70 10,Grège,"rgba(189,168,156,1)",#BDA89C
060 70 20,Beige,"rgba(200,163,138,1)",#C8A38A
060 70 30,Brique,"rgba(209,156,121,1)",#D19C79
060 70 40,Tulle corail,"rgba(224,155,110,1)",#E09B6E
060 70 50,Corail,"rgba(235,151,94,1)",#EB975E
060 70 60,Jaune indien,"rgba(240,143,72,1)",#F08F48
060 70 70,Abricot,"rgba(252,140,53,1)",#FC8C35
060 80 05,Gris petit cheval,"rgba(209,198,190,1)",#D1C6BE
060 80 10,Bauxite,"rgba(215,195,181,1)",#D7C3B5
060 80 20,Café au lait,"rgba(230,191,166,1)",#E6BFA6
060 80 30,Cannelle,"rgba(244,186,148,1)",#F4BA94
060 80 40,Abricot clair,"rgba(253,180,130,1)",#FDB482
060 90 05,Beige poudré,"rgba(239,227,216,1)",#EFE3D8
060 90 10,Cassonade,"rgba(247,224,210,1)",#F7E0D2
060 90 15,Chair-rose,"rgba(253,220,200,1)",#FDDCC8
070 20 10,Brun sépia,"rgba(57,44,30,1)",#392C1E
070 30 10,Brun terre,"rgba(77,63,51,1)",#4D3F33
070 30 20,Brun noisette,"rgba(87,65,40,1)",#574128
070 40 10,Beige nacré,"rgba(103,89,76,1)",#67594C
070 40 20,Or nacré,"rgba(113,86,59,1)",#71563B
070 40 30,Cannelle,"rgba(122,85,46,1)",#7A552E
070 40 40,Mordoré,"rgba(128,82,26,1)",#80521A
070 50 10,Vanille,"rgba(129,114,101,1)",#817265
070 50 20,Bistre,"rgba(140,111,84,1)",#8C6F54
070 50 30,Châtain,"rgba(148,107,65,1)",#946B41
070 50 40,Chocolat,"rgba(157,105,47,1)",#9D692F
070 50 50,Alezan,"rgba(158,105,40,1)",#9E6928
070 50 55,Alezan,"rgba(167,105,36,1)",#A76924
070 60 10,Crême de noisette,"rgba(155,139,124,1)",#9B8B7C
070 60 20,Bronze,"rgba(166,138,110,1)",#A68A6E
070 60 30,Sépia,"rgba(175,133,92,1)",#AF855C
070 60 40,Tabac,"rgba(184,131,73,1)",#B88349
070 60 50,Tabac,"rgba(193,129,54,1)",#C18136
070 60 60,Pérou,"rgba(203,129,45,1)",#CB812D
070 60 70,Ambre miel,"rgba(205,123,0,1)",#CD7B00
070 60 75,Ambre miel,"rgba(208,122,4,1)",#D07A04
070 70 10,Brun vénitie,"rgba(184,168,153,1)",#B8A899
070 70 20,Beige,"rgba(194,164,135,1)",#C2A487
070 70 30,Ocre rocheuses,"rgba(206,162,119,1)",#CEA277
070 70 40,Ocre rouge,"rgba(215,158,98,1)",#D79E62
070 70 50,Ocre rouge,"rgba(222,156,82,1)",#DE9C52
070 70 60,Jaune indien,"rgba(233,154,60,1)",#E99A3C
070 70 70,Orange carotte,"rgba(235,147,31,1)",#EB931F
070 70 80,Mandarine,"rgba(240,143,0,1)",#F08F00
070 80 10,Beige wes,"rgba(212,195,179,1)",#D4C3B3
070 80 20,Isabelle,"rgba(227,194,163,1)",#E3C2A3
070 80 30,Saumon,"rgba(236,190,145,1)",#ECBE91
070 80 40,Abricot clair,"rgba(247,189,129,1)",#F7BD81
070 80 50,Ocre Guadeloupe,"rgba(255,184,107,1)",#FFB86B
070 80 60,Aurore,"rgba(255,182,87,1)",#FFB657
070 90 05,Beige poudré,"rgba(237,228,217,1)",#EDE4D9
070 90 10,Cassonade,"rgba(243,226,209,1)",#F3E2D1
070 90 20,Beige pêche,"rgba(255,222,190,1)",#FFDEBE
075 20 10,Maduro,"rgba(57,47,35,1)",#392F23
075 30 10,Brun terre,"rgba(80,68,55,1)",#504437
075 30 20,Brun noisette,"rgba(87,65,39,1)",#574127
075 40 10,Beige nacré,"rgba(102,91,78,1)",#665B4E
075 40 20,Or nacré,"rgba(109,86,60,1)",#6D563C
075 40 30,Châtaignier,"rgba(115,83,42,1)",#73532A
075 40 38,Marron,"rgba(121,84,25,1)",#795419
075 50 10,Vanille,"rgba(128,115,101,1)",#807365
075 50 20,Bistre,"rgba(138,112,84,1)",#8A7054
075 50 30,Châtain,"rgba(147,112,67,1)",#937043
075 50 40,Terre d'ombre,"rgba(154,108,49,1)",#9A6C31
075 50 50,Brun terre de Sienne,"rgba(158,106,25,1)",#9E6A19
075 50 58,Tanné,"rgba(160,102,0,1)",#A06600
075 60 10,Canelle,"rgba(157,142,127,1)",#9D8E7F
075 60 20,Bronze,"rgba(166,139,110,1)",#A68B6E
075 60 30,Sépia,"rgba(174,137,93,1)",#AE895D
075 60 40,Tabac,"rgba(182,136,77,1)",#B6884D
075 60 50,Tabac,"rgba(187,132,52,1)",#BB8434
075 60 60,Jaune doré foncée,"rgba(193,129,22,1)",#C18116
075 60 70,Ambre miel,"rgba(200,127,0,1)",#C87F00
075 70 10,Grège,"rgba(183,169,154,1)",#B7A99A
075 70 20,Beige,"rgba(194,165,133,1)",#C2A585
075 70 30,Ocre rocheuses,"rgba(202,163,117,1)",#CAA375
075 70 40,Ocre rocheuses,"rgba(210,161,97,1)",#D2A161
075 70 50,Ocre rouge,"rgba(217,159,80,1)",#D99F50
075 70 60,Caramel au beurre,"rgba(225,156,53,1)",#E19C35
075 70 70,Gomme-gutte,"rgba(233,154,16,1)",#E99A10
075 70 80,Jaune narcisse,"rgba(233,151,0,1)",#E99700
075 80 10,Beige wes,"rgba(214,197,180,1)",#D6C5B4
075 80 20,Isabelle,"rgba(224,195,162,1)",#E0C3A2
075 80 30,Saumon,"rgba(231,191,142,1)",#E7BF8E
075 80 40,Ocre Guadeloupe,"rgba(240,189,126,1)",#F0BD7E
075 80 50,Ocre Guadeloupe,"rgba(247,185,105,1)",#F7B969
075 80 60,Aurore,"rgba(255,183,86,1)",#FFB756
075 90 10,Cassonade,"rgba(246,228,208,1)",#F6E4D0
075 90 20,Beige pêche,"rgba(253,222,189,1)",#FDDEBD
075 92 05,Beige poudré,"rgba(238,230,220,1)",#EEE6DC
080 20 05,Maduro,"rgba(50,45,37,1)",#322D25
080 20 10,Brun sépia,"rgba(54,44,29,1)",#362C1D
080 30 05,Taupe,"rgba(73,67,59,1)",#49433B
080 30 10,Olive jaune,"rgba(75,64,49,1)",#4B4031
080 30 20,Bitume,"rgba(82,63,33,1)",#523F21
080 30 26,Brun,"rgba(87,63,22,1)",#573F16
080 40 05,Truffe,"rgba(99,93,84,1)",#635D54
080 40 10,Beige nacré,"rgba(102,91,77,1)",#665B4D
080 40 20,Or nacré,"rgba(108,87,56,1)",#6C5738
080 40 30,Brun olive,"rgba(114,87,40,1)",#725728
080 40 40,Chaudron,"rgba(122,86,14,1)",#7A560E
080 50 05,Gris Rabat,"rgba(123,117,108,1)",#7B756C
080 50 10,Vanille,"rgba(128,116,101,1)",#807465
080 50 20,Bistre,"rgba(135,114,84,1)",#877254
080 50 30,Châtain,"rgba(141,112,64,1)",#8D7040
080 50 40,Terre d'ombre,"rgba(146,110,46,1)",#926E2E
080 50 50,Terre d'ombre,"rgba(152,110,25,1)",#986E19
080 60 05,Gris de lin,"rgba(150,144,135,1)",#969087
080 60 10,Crême de noisette,"rgba(153,141,124,1)",#998D7C
080 60 20,Bronze,"rgba(163,140,107,1)",#A38C6B
080 60 30,Sépia,"rgba(170,138,88,1)",#AA8A58
080 60 40,Tabac,"rgba(174,136,75,1)",#AE884B
080 60 50,Poil de chameau,"rgba(181,135,53,1)",#B58735
080 60 60,Jaune doré foncée,"rgba(187,134,16,1)",#BB8610
080 60 70,Jaune doré foncée,"rgba(190,132,0,1)",#BE8400
080 70 05,Vert bourrache,"rgba(176,170,161,1)",#B0AAA1
080 70 10,Brun vénitie,"rgba(181,169,152,1)",#B5A998
080 70 20,Beige,"rgba(191,167,133,1)",#BFA785
080 70 30,Caramel,"rgba(197,165,116,1)",#C5A574
080 70 40,Jaune sable,"rgba(206,164,97,1)",#CEA461
080 70 50,Fauve,"rgba(212,162,78,1)",#D4A24E
080 70 60,Jaune or,"rgba(218,161,53,1)",#DAA135
080 70 70,Melon,"rgba(223,160,26,1)",#DFA01A
080 70 80,Jaune narcisse,"rgba(225,156,0,1)",#E19C00
080 70 88,Jaune narcisse,"rgba(229,155,0,1)",#E59B00
080 80 05,Gris petit cheval,"rgba(205,199,189,1)",#CDC7BD
080 80 10,Beige wes,"rgba(213,198,180,1)",#D5C6B4
080 80 20,Isabelle,"rgba(220,195,159,1)",#DCC39F
080 80 30,Bois massif,"rgba(227,192,141,1)",#E3C08D
080 80 40,Ocre Guadeloupe,"rgba(236,191,122,1)",#ECBF7A
080 80 50,Jaune mimosa,"rgba(243,190,103,1)",#F3BE67
080 80 60,Orangé jaune,"rgba(249,188,79,1)",#F9BC4F
080 80 70,Orangé jaune,"rgba(252,185,55,1)",#FCB937
080 80 80,Ambre,"rgba(255,183,11,1)",#FFB70B
080 80 90,Ambre,"rgba(255,183,0,1)",#FFB700
080 90 05,Beige poudré,"rgba(238,230,217,1)",#EEE6D9
080 90 10,Beige pierre,"rgba(240,225,205,1)",#F0E1CD
080 90 20,Blé,"rgba(247,223,186,1)",#F7DFBA
080 90 30,Blanc navarro,"rgba(255,222,169,1)",#FFDEA9
085 20 10,Vert brun,"rgba(60,54,42,1)",#3C362A
085 30 10,Gris brun,"rgba(78,70,55,1)",#4E4637
